,Plot,Depth,N,NH4.uM,sd,se,ci,Rerun,Plate,Notes
81,400,10,3,42.48063786,1.542392414,0.890500676,3.831515163,,1,
82,402,10,3,42.39831105,1.218325651,0.703400643,3.026488695,,1,
83,406,10,3,41.57504287,1.488727458,0.859517198,3.69820402,,1,
84,410,10,3,41.73969651,0.49396089,0.285188453,1.227066876,,1,
85,416,10,3,44.04484739,0.793931071,0.458376318,1.972234115,,1,
86,1617,10,3,40.91642833,0.51413082,0.296833567,1.277171758,,1,
87,1621,10,3,40.99875514,1.076562836,0.621553843,2.674330341,,1,
88,1622,10,3,43.96252059,1.076562836,0.621553843,2.674330341,,1,
89,1624,10,3,42.89227197,1.404390319,0.810825129,3.488698954,,1,
90,1639,10,3,47.50257374,0.867366853,0.500774486,2.154658711,,1,
91,1646,10,3,41.82202334,0.793931071,0.458376318,1.972234115,,1,
92,1654,10,3,44.0448474,1.87010579,1.079706081,4.645600317,,1,
93,1655,10,3,40.59752503,2.061935408,1.190458963,5.122131506,,2,
94,1656,10,3,42.14409742,1.579095101,0.911690982,3.922689691,,2,
95,1658,10,3,54.13945542,0.409973853,0.236698514,1.018431509,Y,BG2021-24,
96,1659,10,3,45.93319975,1.011202906,0.58381827,2.511967272,,2,
97,1664,10,3,41.37081124,1.544637947,0.891797134,3.837093375,,2,
98,1665,10,3,39.36026714,0.354364261,0.204592301,0.880289623,,2,
99,1684,10,3,47.94374385,1.97301667,1.139121706,4.901245116,,2,
100,1690,10,3,76.4006757,1.860713619,1.074283509,4.622268871,,2,
101,1804,10,3,40.36553917,0.463971728,0.267874202,1.152569667,,2,
102,1805,10,3,42.22142604,1.448751194,0.836436892,3.598897476,,2,
103,1808,10,3,41.75745433,1.521233012,0.878284289,3.778952293,,2,
104,1810,10,3,42.84005499,0.267874202,0.154657243,0.665436407,,2,
105,1813,10,3,40.98416812,4.086727889,2.359473447,10.15199487,,2,
106,1815,10,3,43.53601257,1.875119355,1.082600664,4.658054703,,2,
107,1816,10,3,39.43759575,1.411114889,0.814707561,3.505403711,,2,
108,1818,10,3,38.89629542,0.482917085,0.278812309,1.199632543,,2,
109,1838,10,3,46.39717148,1.623901016,0.937559689,4.033993754,,2,
110,1843,10,3,40.75218227,0.878284306,0.50707768,2.181779166,,2,
111,1845,10,3,39.36026712,1.945548708,1.12326307,4.833010915,,2,
112,1847,10,3,41.60279709,0.482917063,0.278812296,1.199632488,,2,
113,1848,10,3,38.20033784,1.16763655,0.674135277,2.900569989,,2,
114,1849,10,3,43.61334117,0.401811271,0.231985845,0.998154531,,2,
115,1850,10,3,41.2934826,1.391915156,0.80362259,3.457708931,,2,
116,1851,10,3,40.18374827,0.57211087,0.330308365,1.421202187,Y,BG2021-24,
117,1860,10,3,38.35499507,0.535748404,0.309314485,1.330872814,,2,
118,1875,10,3,83.2829228,11.93994947,6.893533043,29.66047876,,2,
119,1881,10,3,41.83478295,0.35436423,0.204592284,0.880289548,,2,
120,1884,10,3,51.62445514,1.190094926,0.687101626,2.956359686,,3,
121,1888,10,3,38.30455757,14.13357227,8.160021757,35.10973989,,3,
122,1894,10,3,42.48180354,2.740484367,1.582219387,6.807740566,,3,
123,1895,10,3,39.80206081,0.955592757,0.551711736,2.373824006,,3,
124,1944,10,3,159.4860387,2.079858466,1.200806845,5.166654851,Y,BG2021-24,
125,1960,10,3,46.9743134,1.836597941,1.060360316,4.562362208,,3,
126,1966,10,3,41.85127585,0.472895781,0.273026507,1.174738244,,3,
127,1968,10,3,63.1315856,3.870818734,2.234818238,9.615646792,,3,
128,1983,10,3,47.52602511,1.438256347,0.830377689,3.572826831,,3,
129,1986,10,3,51.15155938,2.380189848,1.374203249,5.912719362,,3,
130,1987,10,3,47.99892089,0.625582296,0.361180107,1.554032573,,3,
131,1989,10,3,43.1703782,0.564326682,0.325814162,1.401865193,Y,BG2021-24,
132,1990,10,3,44.60983453,1.344499609,0.776247211,3.339922182,,3,
133,1991,10,3,44.53101857,0.595047461,0.343550812,1.478179838,,3,
134,1992,10,3,44.92509838,0.852524978,0.492205526,2.117789449,,3,
135,1996,10,3,44.13693874,1.836597972,1.060360334,4.562362284,,3,
136,1998,10,3,52.80669457,3.085924233,1.781659186,7.665860762,,3,
